121,Tottenham Hotspur,4-1-2-1-2,Leicester City,4-1-4-1,3,1,2018/19,Premier League
122,Manchester City,4-3-3,Chelsea,4-3-3,6,0,2018/19,Premier League
123,Fulham,4-2-3-1,Manchester United,4-3-3,0,3,2018/19,Premier League
124,Crystal Palace,4-3-3,West Ham United,4-1-4-1,1,1,2018/19,Premier League
125,Huddersfield Town,4-1-2-1-2,Arsenal,3-4-3,1,2,2018/19,Premier League
126,Liverpool,4-3-3,AFC Bournemouth,4-5-1,3,0,2018/19,Premier League
127,Southampton,3-5-2,Cardiff City,3-4-1-2,1,2,2018/19,Premier League
128,Watford,4-2-2-2,Everton,4-2-3-1,1,0,2018/19,Premier League
129,Brighton and Hove Albion,4-3-3,Burnley,4-4-2,1,3,2018/19,Premier League
130,Everton,4-2-3-1,Manchester City,4-3-3,0,2,2018/19,Premier League
131,West Ham United,4-1-4-1,Liverpool,4-3-3,1,1,2018/19,Premier League
132,Leicester City,4-2-3-1,Manchester United,4-2-2-2,0,1,2018/19,Premier League
133,Manchester City,4-3-3,Arsenal,4-4-2,3,1,2018/19,Premier League
134,Tottenham Hotspur,4-2-3-1,Newcastle United,5-4-1,1,0,2018/19,Premier League
135,Brighton and Hove Albion,4-3-3,Watford,4-2-2-2,0,0,2018/19,Premier League
136,Burnley,4-4-2,Southampton,3-5-2,1,1,2018/19,Premier League
137,Chelsea,4-3-3,Huddersfield Town,4-3-3,5,0,2018/19,Premier League
138,Crystal Palace,4-4-2,Fulham,3-4-3,2,0,2018/19,Premier League
139,Everton,4-1-4-1,Wolverhampton Wanderers,3-5-2,1,3,2018/19,Premier League
140,Cardiff City,4-1-4-1,AFC Bournemouth,4-4-1-1,2,0,2018/19,Premier League
141,AFC Bournemouth,4-4-1-1,Chelsea,4-3-3,4,0,2018/19,Premier League
142,Southampton,3-5-2,Crystal Palace,4-3-3,1,1,2018/19,Premier League
143,Liverpool,4-2-3-1,Leicester City,4-4-1-1,1,1,2018/19,Premier League
144,Tottenham Hotspur,3-5-2,Watford,4-2-2-2,2,1,2018/19,Premier League
145,Arsenal,4-3-1-2,Cardiff City,3-5-2,2,1,2018/19,Premier League
146,Fulham,3-4-3,Brighton and Hove Albion,4-3-3,4,2,2018/19,Premier League
147,Huddersfield Town,4-3-3,Everton,4-1-4-1,0,1,2018/19,Premier League
148,Wolverhampton Wanderers,3-5-2,West Ham United,4-4-2,3,0,2018/19,Premier League
149,Manchester United,4-1-4-1,Burnley,4-4-2,2,2,2018/19,Premier League
150,Newcastle United,5-4-1,Manchester City,4-3-3,2,1,2018/19,Premier League
151,Huddersfield Town,4-5-1,Manchester City,4-3-3,0,3,2018/19,Premier League
152,Fulham,3-4-3,Tottenham Hotspur,3-4-2-1,1,2,2018/19,Premier League
153,Wolverhampton Wanderers,3-5-2,Leicester City,4-2-3-1,4,3,2018/19,Premier League
154,AFC Bournemouth,4-4-2,West Ham United,4-2-3-1,2,0,2018/19,Premier League
155,Liverpool,4-2-3-1,Crystal Palace,4-5-1,4,3,2018/19,Premier League
156,Manchester United,4-3-3,Brighton and Hove Albion,4-5-1,2,1,2018/19,Premier League
157,Newcastle United,5-4-1,Cardiff City,4-4-2,3,0,2018/19,Premier League
158,Southampton,3-5-2,Everton,4-2-3-1,2,1,2018/19,Premier League
159,Watford,4-2-2-2,Burnley,4-4-2,0,0,2018/19,Premier League
160,Arsenal,4-1-2-1-2,Chelsea,4-3-3,2,0,2018/19,Premier League
161,Manchester City,4-3-3,Wolverhampton Wanderers,3-5-2,3,0,2018/19,Premier League
162,Everton,4-2-3-1,AFC Bournemouth,4-4-1-1,2,0,2018/19,Premier League
163,Tottenham Hotspur,4-1-2-1-2,Manchester United,4-1-2-1-2,0,1,2018/19,Premier League
164,West Ham United,4-2-3-1,Arsenal,3-4-2-1,1,0,2018/19,Premier League
